ds,y
2018-01-01,180.69
2018-01-02,179.28
2018-01-03,177.7
2018-01-04,179.04
2018-01-05,178.32
2018-01-06,180.74
2018-01-07,181.53
2018-01-08,182.81
2018-01-09,181.44
2018-01-10,181.86
2018-01-11,185.2
2018-01-12,185.49
2018-01-13,190.02
2018-01-14,189.35
2018-01-15,191.13
2018-01-16,191.04
2018-01-17,188.35
2018-01-18,189.64
2018-01-19,194.21
2018-01-20,193.87
2018-01-21,190.09
2018-01-22,190.06
2018-01-23,189.91
2018-01-24,192.62
2018-01-25,190.47
2018-01-26,190.18
2018-01-27,190.66
2018-01-28,190.85
2018-01-29,191.68
2018-01-30,189.98
2018-01-31,188.8
2018-02-01,189.05
2018-02-02,195.09
2018-02-03,195.58
2018-02-04,193.26
2018-02-05,192.48
2018-02-06,194.63
2018-02-07,198.0
2018-02-08,198.87
2018-02-09,201.69
2018-02-10,200.03
2018-02-11,197.44
2018-02-12,199.61
2018-02-13,199.21
2018-02-14,199.14
2018-02-15,199.38
2018-02-16,198.55
2018-02-17,196.82
2018-02-18,196.81
2018-02-19,198.04
2018-02-20,198.26
2018-02-21,195.68
2018-02-22,196.88
2018-02-23,198.44
2018-02-24,200.41
2018-02-25,202.42
2018-02-26,208.01
2018-02-27,205.76
2018-02-28,205.46
2018-03-01,208.67
2018-03-02,208.84
2018-03-03,205.91
2018-03-04,207.43
2018-03-05,211.16
2018-03-06,208.05
2018-03-07,206.54
2018-03-08,205.19
2018-03-09,201.3
2018-03-10,201.19
2018-03-11,204.12
2018-03-12,204.3
2018-03-13,207.58
2018-03-14,208.09
2018-03-15,208.2
2018-03-16,209.86
2018-03-17,209.22
2018-03-18,203.66
2018-03-19,206.24
2018-03-20,211.81
2018-03-21,217.61
2018-03-22,226.35
2018-03-23,225.76
2018-03-24,227.9
2018-03-25,225.63
2018-03-26,224.33
2018-03-27,222.82
2018-03-28,225.35
2018-03-29,225.07
2018-03-30,222.07
2018-03-31,220.27
2018-04-01,215.94
2018-04-02,212.32
2018-04-03,215.3
2018-04-04,213.88
2018-04-05,212.59
2018-04-06,215.79
2018-04-07,216.86
2018-04-08,215.64
2018-04-09,210.24
2018-04-10,209.17
2018-04-11,205.75
2018-04-12,206.33
2018-04-13,204.71
2018-04-14,205.07
2018-04-15,202.84
2018-04-16,199.96
2018-04-17,199.76
2018-04-18,198.34
2018-04-19,195.19
2018-04-20,197.16
