ds,y
2018-01-01,451.38
2018-01-02,454.58
2018-01-03,458.61
2018-01-04,461.44
2018-01-05,464.7
2018-01-06,465.06
2018-01-07,463.82
2018-01-08,466.94
2018-01-09,462.19
2018-01-10,465.71
2018-01-11,468.59
2018-01-12,468.11
2018-01-13,469.96
2018-01-14,468.96
2018-01-15,467.43
2018-01-16,471.57
2018-01-17,473.4
2018-01-18,480.59
2018-01-19,489.65
2018-01-20,492.94
2018-01-21,495.08
2018-01-22,501.39
2018-01-23,497.48
2018-01-24,495.21
2018-01-25,496.0
2018-01-26,498.36
2018-01-27,500.03
2018-01-28,501.75
2018-01-29,505.33
2018-01-30,506.69
2018-01-31,509.74
2018-02-01,511.84
2018-02-02,511.46
2018-02-03,510.29
2018-02-04,508.54
2018-02-05,511.06
2018-02-06,511.77
2018-02-07,518.51
2018-02-08,520.25
2018-02-09,527.25
2018-02-10,525.26
2018-02-11,526.83
2018-02-12,524.39
2018-02-13,525.34
2018-02-14,529.35
2018-02-15,529.79
2018-02-16,530.6
2018-02-17,533.43
2018-02-18,540.76
2018-02-19,539.77
2018-02-20,538.33
2018-02-21,538.11
2018-02-22,539.34
2018-02-23,538.67
2018-02-24,541.1
2018-02-25,544.91
2018-02-26,542.85
2018-02-27,549.13
2018-02-28,546.41
2018-03-01,548.9
2018-03-02,550.69
2018-03-03,557.56
2018-03-04,557.02
2018-03-05,558.28
2018-03-06,560.88
2018-03-07,564.52
2018-03-08,564.93
2018-03-09,571.24
2018-03-10,568.69
2018-03-11,566.91
2018-03-12,567.89
2018-03-13,566.09
2018-03-14,562.32
2018-03-15,567.12
2018-03-16,570.34
2018-03-17,564.23
2018-03-18,567.49
2018-03-19,571.33
2018-03-20,568.43
2018-03-21,572.53
2018-03-22,568.32
2018-03-23,567.01
2018-03-24,566.67
2018-03-25,568.25
2018-03-26,569.53
2018-03-27,570.27
2018-03-28,567.76
2018-03-29,572.41
2018-03-30,574.42
2018-03-31,572.78
2018-04-01,571.04
2018-04-02,575.19
2018-04-03,577.03
2018-04-04,574.2
2018-04-05,572.89
2018-04-06,575.82
2018-04-07,569.72
2018-04-08,566.91
2018-04-09,568.84
2018-04-10,564.92
2018-04-11,569.47
2018-04-12,565.82
2018-04-13,561.34
2018-04-14,557.0
2018-04-15,556.76
2018-04-16,555.13
2018-04-17,552.4
2018-04-18,552.29
2018-04-19,549.42
2018-04-20,549.69
2018-04-21,551.14
2018-04-22,551.68
2018-04-23,547.89
2018-04-24,550.03
2018-04-25,549.92
2018-04-26,551.8
2018-04-27,554.09
2018-04-28,552.26
2018-04-29,553.93
2018-04-30,551.1
2018-05-01,552.14
2018-05-02,546.53
2018-05-03,547.8
2018-05-04,547.1
2018-05-05,541.26
2018-05-06,541.44
2018-05-07,539.0
2018-05-08,544.49
2018-05-09,544.2
2018-05-10,550.21
2018-05-11,551.47
2018-05-12,547.95
2018-05-13,547.91
2018-05-14,547.66
2018-05-15,549.26
2018-05-16,543.57
2018-05-17,541.79
2018-05-18,539.01
2018-05-19,538.67
2018-05-20,538.19
2018-05-21,538.09
2018-05-22,539.0
2018-05-23,537.36
2018-05-24,538.56
2018-05-25,536.26
2018-05-26,533.87
2018-05-27,533.72
2018-05-28,533.12
2018-05-29,528.96
2018-05-30,534.44
2018-05-31,530.29
2018-06-01,524.48
2018-06-02,526.63
2018-06-03,526.94
2018-06-04,526.85
2018-06-05,523.67
